mes;fecha_semana;cliente;campanya;objetivo;subojetivo;objetivo_final;disciplina;soporte;tipo_coste;pagador;producto;subproducto;impresiones;clics;inversion;impresiones_medibles;impresiones_visibles;views;views_25;views_50;views_75;video_100
2;2020-01-27;Amena;Amena-Fibra;Branding;Consideración;Cobertura;Display;PRISA;CPM;LOW-COST;AMENAFIBRA;0;119969.0;229.0;359.90999999999997;113432.0;55462.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Fibra;Performance;Captación;Alta;Display;BMIND;CPM;LOW-COST;AMENAFIBRA;0;741038.0;690.0;1200.4600000000003;713172.0;242186.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Fibra;Performance;Captación;Alta;Display;GOOGLE;CPC;LOW-COST;AMENAFIBRA;0;0.0;0.0;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Fibra;Performance;Captación;Alta;Display;HISPAVISTA;CPM;LOW-COST;AMENAFIBRA;0;203.0;0.0;0.20000000000000007;166.0;15.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Fibra;Performance;Captación;Alta;Display;SMARTCLIP;CPM;LOW-COST;AMENAFIBRA;0;257208.0;741.0;347.21999999999997;248512.0;133904.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Display;BMIND;CPM;LOW-COST;AMENAMOVIL;0;718028.0;820.0;1163.1599999999994;678549.0;319922.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Display;GOOGLE;CPC;LOW-COST;AMENAMOVIL;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Display;HISPAVISTA;CPM;LOW-COST;AMENAMOVIL;0;418.0;5.0;0.5100000000000002;324.0;16.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Display;SMARTCLIP;CPM;LOW-COST;AMENAMOVIL;0;156309.0;653.0;268.56999999999994;150618.0;70280.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Social;BMINHOUSE;CPM;LOW-COST;AMENAMOVIL;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Social;BMINHOUSE;CPM;LOW-COST;AMENAMOVIL;T14-NRTG;291.0;1.0;1.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Social;BMINHOUSE;CPM;LOW-COST;AMENAMOVIL;T14-RTG;26.0;0.0;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Social;BMINHOUSE;CPM;LOW-COST;AMENAMOVIL;T19-NRTG;981.0;2.0;4.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Amena;Amena-Movil;Performance;Captación;Alta;Social;BMINHOUSE;CPM;LOW-COST;AMENAMOVIL;T19-RTG;27.0;0.0;0.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;APPLE;LOVE;TERMINAL;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;HUAWEI;LOVE;TERMINAL;30.0;0.0;0.0313127298354369;29.0;14.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;OPPO;LOVE;TERMINAL;6.0;0.0;0.00626254596708738;7.0;1.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;RESIDENCIAL;FASTANDALONE;FIBRAADSL;2.0;0.0;0.00208751532236246;2.0;1.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;RESIDENCIAL;FASTANDALONE;TERMINAL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;RESIDENCIAL;GO;GOUP;3.0;0.0;0.00313127298354369;3.0;3.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;RESIDENCIAL;GO;TERMINAL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;RESIDENCIAL;LOVE;LOVEGENÉRICO;462680.0;571.0;482.92579467533153;431340.0;181663.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;RESIDENCIAL;LOVE;TERMINAL;78.0;0.0;0.08141309757213594;77.0;3.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;RESIDENCIAL;OBJETOSCONECTADOS;TERMINAL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;SAMSUNG;LOVE;TERMINAL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;BMIND;CPM;XIAOMI;LOVE;TERMINAL;35.0;1.0;0.03653151814134305;35.0;13.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;HISPAVISTA;CPM;HUAWEI;LOVE;TERMINAL;2493.0;2.0;2.223043259726297;2424.0;7.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;HISPAVISTA;CPM;OPPO;LOVE;TERMINAL;2468.0;0.0;2.2007504071417983;2378.0;6.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;HISPAVISTA;CPM;RESIDENCIAL;FASTANDALONE;FIBRAADSL;177711.0;366.0;66.7160366946986;95159.0;59569.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;HISPAVISTA;CPM;RESIDENCIAL;GO;GOUP;651338.0;919.0;580.8072806673114;444271.0;176336.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;HISPAVISTA;CPM;RESIDENCIAL;GO;TERMINAL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;HISPAVISTA;CPM;RESIDENCIAL;LOVE;LOVEGENÉRICO;1062590.0;1598.0;947.5264891105362;682354.0;282936.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;HISPAVISTA;CPM;RESIDENCIAL;LOVE;TERMINAL;1098454.0;1792.0;979.5069237141556;688002.0;284284.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;ORANGEPIBDBM;CPM;HUAWEI;LOVE;TERMINAL;334674.0;1404.0;295.02;331779.0;239872.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;ORANGEPIBDBM;CPM;RESIDENCIAL;FASTANDALONE;FIBRAADSL;2010508.0;1266.0;600.71;2003846.0;1462450.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;ORANGEPIBDBM;CPM;RESIDENCIAL;GO;GOUP;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;ORANGEPIBDBM;CPM;RESIDENCIAL;LOVE;LOVEGENÉRICO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;ORANGEPIBDBM;CPM;RESIDENCIAL;LOVE;TERMINAL;41.0;13.0;0.02;40.0;175.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;TRADELAB;CPM;RESIDENCIAL;FASTANDALONE;FIBRAADSL;12.0;0.0;0.020329147377078;11.0;1.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;TRADELAB;CPM;RESIDENCIAL;LOVE;LOVEGENÉRICO;1.0;0.0;0.0016940956147565001;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-01-27;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;VERIZON;CPM;RESIDENCIAL;LOVE;LOVEGENÉRICO;39.0;0.0;0.01028654760077712;37.0;14.0;0.0;0.0;0.0;0.0;0.0
